RoomName,XCoord,YCoord,Path,Display
R1105,45.6543,6.7871,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",TRUE
R1107,49.4141,11.377,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
F1106,45.5566,12.4512,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
F1108,53.2715,16.0156,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
S3-100,59.2773,16.5527,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1103B,40.4785,18.8477,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1103,46.6309,22.7539,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1102A,50.6836,25.4883,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1103A,44.1406,27.002,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1101E,35.2539,23.6816,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1101D,32.3242,28.5645,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1101,38.623,29.3945,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1101C,34.6191,33.4473,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
C10001-,31.6406,39.1113,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1313A,24.6094,41.1621,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1204,28.2715,45.1172,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1313,22.2168,45.5566,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1314,24.8047,48.1445,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1203,31.9824,49.1699,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1312,18.5547,51.6113,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1315,27.002,50.6836,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
186,29.3945,52.2949,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1202,35.7422,53.125,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1311,21.1914,54.3457,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1316,31.543,54.4434,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1307,15.7715,56.2988,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
1310,23.4375,56.8848,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_one.html""",False
