RoomName,XCoord,YCoord,Path,Display
2306,48.1445,9.6191,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2307,51.5137,11.7188,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2305,44.8242,15.332,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2308,54.1992,16.1133,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
FRF2,38.4277,17.334,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2304,42.9199,19.7266,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
S3-200,56.7383,20.1172,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2309,50.7812,20.8496,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
T2303,40.9668,23.3398,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2310,47.9004,24.9023,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2405,53.3203,24.8535,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2302,38.3789,26.7578,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2311,45.6543,28.1738,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2301,36.1328,31.6895,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2300,41.3086,34.5215,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
E1-200,46.3379,36.6699,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2201,66.2109,24.6582,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2200B,72.2656,29.9316,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2400,51.4648,31.9336,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2200,65.0391,37.0605,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
C2000A,33.2031,39.3555,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2202,75.2441,39.7949,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2203,79.3945,44.2871,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
FRF2,90.8691,46.2402,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
F2205,82.959,49.9512,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
R2204,87.9883,51.7578,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
R2206,84.8145,56.0547,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2200A,52.2461,48.2422,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2214,60.8398,48.8281,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2212,74.2188,51.3184,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2211,71.875,55.1758,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
2213,62.4023,55.6152,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ERC/ERC_two.html""",False
