RoomName,XCoord,YCoord,Path,Display
S7-300,42.2852,15.5273,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ScienceCenter/ScienceCenter_three.html""",FALSE
S2-300,14.3066,19.2871,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ScienceCenter/ScienceCenter_three.html""",FALSE
388,17.9199,19.4824,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ScienceCenter/ScienceCenter_three.html""",FALSE
3100F,13.1348,20.459,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ScienceCenter/ScienceCenter_three.html""",FALSE
C3100D,39.1602,21.4355,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ScienceCenter/ScienceCenter_three.html""",FALSE
386,20.5566,22.6562,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ScienceCenter/ScienceCenter_three.html""",FALSE
391,13.8672,25.4395,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ScienceCenter/ScienceCenter_three.html""",FALSE
382,23.0957,25.8301,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ScienceCenter/ScienceCenter_three.html""",FALSE
362A,34.375,26.0742,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ScienceCenter/ScienceCenter_three.html""",FALSE
389,15.1367,27.002,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ScienceCenter/ScienceCenter_three.html""",FALSE
S3-300,28.6133,27.832,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/ScienceCenter/ScienceCenter_three.html""",FALSE
387,16.3574,28.5645,"""http://127.0.0.1:5501/campus_tour/buildings/ScienceCenter/ScienceCenter_three.html""",FALSE
