RoomName,XCoord,YCoord,Path,Display
S4-00,40.3809,12.793,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/Snell/Snell_b.html""",False
804,45.3125,16.2109,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/Snell/Snell_b.html""",False
B50B,25.9277,17.0898,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/Snell/Snell_b.html""",False
BOOD,33.9844,17.1387,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/Snell/Snell_b.html""",False
850,29.248,18.5547,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/Snell/Snell_b.html""",False
B50A,25.0977,19.3359,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/Snell/Snell_b.html""",False
BOOC,33.6914,22.5586,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/Snell/Snell_b.html""",False
851,23.3398,23.5352,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/Snell/Snell_b.html""",False
B52,28.3691,26.1719,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/Snell/Snell_b.html""",False
B01,21.2891,27.3438,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/Snell/Snell_b.html""",False
E1-00,26.1719,28.9062,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/Snell/Snell_b.html""",False
806,57.9102,17.1387,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/Snell/Snell_b.html""",False
BO8,67.1387,26.2695,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/Snell/Snell_b.html""",False
BO2,47.2168,29.1016,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/Snell/Snell_b.html""",False
BO0A,33.4473,31.5918,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/Snell/Snell_b.html""",False
