RoomName,XCoord,YCoord,Path,Display
113,29.3945,9.0332,"""http://127.0.0.1:5501/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
113A,35.498,12.3047,"""http://127.0.0.1:5501/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
113B,34.0332,14.209,"""http://127.0.0.1:5501/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
100B,36.4258,16.2109,"""http://127.0.0.1:5501/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
101A,34.2773,19.4336,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
S2-100,42.4805,20.459,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
122A,37.8418,22.2168,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
122B,41.7969,25.6836,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
123,36.6211,27.5879,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
112,23.7305,14.0137,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
110A,12.6465,24.6094,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
101A,27.3438,24.707,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
110B,16.6016,28.125,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
101A,23.0469,27.832,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
110C,20.2637,31.3477,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
120,50.293,32.0801,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
110,10.8398,33.7402,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
121,31.6406,34.5703,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
124,60.2539,35.3516,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
125,57.3242,39.4043,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
126,54.3945,43.5547,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
127,50.8789,48.584,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
131A,56.8359,47.8027,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
102-1,54.3945,51.709,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
E1-100,60.498,52.1484,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
FPD1,67.627,34.5703,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
120,42.4316,41.5527,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
131,65.918,44.4336,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
102,36.7188,48.877,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
132,73.7305,50.293,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
E2-100,62.8906,56.1035,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
102A,59.2773,56.9336,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
133,78.0273,55.3223,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
S1-100,83.7402,56.7383,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
130,69.7754,57.4707,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
130-1,69.043,60.8887,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
135,71.3379,62.8418,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
136B,74.6094,64.0625,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
136,77.9785,65.6738,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
103,69.3359,68.1641,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
100C,74.3164,70.9961,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
101,17.0898,58.9844,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
105,47.7539,62.207,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
107,57.2266,64.6484,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
107A,55.957,66.6016,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
S6-100,50.3418,67.7246,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
103,62.9883,66.9434,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
0,15.1367,71.875,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
100A,13.9648,78.1738,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
104,18.1152,77.3926,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
104,39.0625,74.7559,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
153,35.8398,81.0059,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
151B,36.7188,86.4258,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
151A,44.5312,80.3711,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
150,48.2422,83.252,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
S3-100,29.6387,87.7441,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
152,19.5312,89.6973,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
151,38.2324,93.1152,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_one.html""",FALSE
