RoomName,XCoord,YCoord,Path,Display
S2-200,68.1152,20.9473,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_two.html""",FALSE
222,66.3574,23.0957,"""http://127.0.0.1:5501/campus_tour/buildings/StudentCenter/StudentCenter_two.html""",FALSE
210,55.6641,23.0957,"""http://127.0.0.1:5501/campus_tour/buildings/StudentCenter/StudentCenter_two.html""",FALSE
203,58.1055,31.9336,"""http://127.0.0.1:5501/campus_tour/buildings/StudentCenter/StudentCenter_two.html""",FALSE
221,61.4258,35.498,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_two.html""",FALSE
220,72.5098,35.6445,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_two.html""",FALSE
223A,82.5195,39.9902,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_two.html""",FALSE
A223D,84.5703,41.0645,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_two.html""",FALSE
223B,84.4727,43.8477,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_two.html""",FALSE
223,81.6406,45.8496,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_two.html""",FALSE
232,86.5723,47.4121,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_two.html""",FALSE
E1-200,79.0039,48.4863,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_two.html""",FALSE
224,74.9023,49.5117,"""https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/campus_tour/buildings/StudentCenter/StudentCenter_two.html""",FALSE
