RoomName,XCoord,YCoord,Path,Display
022A,45.4102,7.7637,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
22,39.4043,13.2812,http://127.0.0.1:5501/campus_tour/buildings/StudentCenter/StudentCenter_basement.html,FALSE
K,41.3574,17.8711,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
21,44.6777,17.9199,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
S2-000,51.5625,20.6055,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
12,27.6367,24.2676,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
012A,38.0859,23.877,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
00C,43.4082,27.5879,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
14,21.1914,28.5156,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
15,17.4805,31.0547,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
16,14.6484,34.8145,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
23,50.8301,29.4434,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
13,26.9043,33.3008,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
10,22.8027,38.1836,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
10,33.9355,32.8125,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
24,59.8145,35.3027,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
031-1,68.5547,36.8164,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
031-2,71.8262,39.6973,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
031A,70.4102,45.0684,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
031-3,65.8203,48.9258,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
E1-000,69.5312,52.2461,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
031-4,73.6816,53.7598,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
E2-000,71.8262,56.1523,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
35,75.8789,57.1289,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
O0B,35.0586,40.332,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
20,38.1348,44.3848,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
OOD,48.6816,39.3555,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
S5-000,41.748,51.9043,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
32,82.0801,51.2695,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
O0E,56.0547,53.0273,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
17,26.0742,56.5918,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
34,83.9844,56.6406,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
33,87.7441,55.8594,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
S1-000,90.9668,58.9355,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
O0H,33.6914,60.0586,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
5,42.5781,60.498,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
OOF,78.1738,62.8906,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
25,55.4688,63.8184,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
36,83.5938,65.4785,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
O0G,87.0117,65.8691,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
018A,28.1738,67.1387,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
18,27.7344,71.7285,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
42,71.5332,66.748,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
43,67.3828,69.9707,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
41,77.002,69.9219,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
043A,70.8008,72.2656,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
041A,74.707,71.875,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
40,81.25,72.6074,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
44,63.6719,75.6836,"https://webspace.clarkson.edu/projects/KLEMP/public_html/Klemp_Website-main/StudentCenter/StudentCenter_basement.html
",FALSE
